Outlet Name,Outlet GSTIN Code,Invoice No,Invoice Date,Taxable Line Amt,SGST_Tax_Rate,SGST_Tax_Value,CGST_Tax_Rate,CGST_Tax_Value,Cess_Tax_Rate,Cess_Tax_Value,Total Tax Amount,Net Amount
ASHUTOSH BHANDAR (ICE BOX),,580118000258,6/1/2018,1535.05,14,214.91,14,214.91,12,184.21,614.03,2149.08
RAJA STORE,,580118000259,6/1/2018,1535.05,14,214.91,14,214.91,12,184.21,614.03,2149.08
KRISHNA VERIETY STORE -,,580118000260,6/1/2018,1535.05,14,214.91,14,214.91,12,184.21,614.03,2149.08
SAI KIRAN STORE,,580118000261,6/1/2018,1023.37,14,143.27,14,143.27,12,122.8,409.34,1432.71
SRINIBAS STORE,,580118000262,6/1/2018,1535.05,14,214.91,14,214.91,12,184.21,614.03,2149.08
PRADEEP COMMUNICATION,,580118000263,6/1/2018,1023.37,14,143.27,14,143.27,12,122.8,409.34,1432.71
DAMA MAHARAJ SWEETS & ICECREAM PARL,,580118000264,6/1/2018,1023.37,14,143.27,14,143.27,12,122.8,409.34,1432.71
ZEE STORE,,580118000265,6/1/2018,1023.37,14,143.27,14,143.27,12,122.8,409.34,1432.71
DEEP FOOD CORNER,21AVIPD7702M1ZP,580118000266,6/1/2018,2239.63,9,201.57,9,201.57,0,0,403.14,2642.77
HEENA VT. STORE,,580118000267,6/2/2018,430.84,9,38.78,9,38.78,0,0,77.56,508.4
HEENA VT. STORE,,580118000267,6/2/2018,365.72,14,51.2,14,51.2,12,43.89,146.29,512.01
HEENA VT. STORE,,580118000267,6/2/2018,265.49,6,15.93,6,15.93,0,0,31.86,297.35
HEENA VT. STORE,,580118000267,6/2/2018,2092.67,6,125.56,6,125.56,0,0,251.12,2343.79
STOP AND SHOP,,580118000268,6/2/2018,2239.63,9,201.57,9,201.57,0,0,403.14,2642.77
BARABATI  RESTAURANT,,580118000269,6/5/2018,179.51,9,16.16,9,16.16,0,0,32.32,211.83
BARABATI  RESTAURANT,,580118000269,6/5/2018,226.96,14,31.77,14,31.77,12,27.24,90.78,317.74
BARABATI  RESTAURANT,,580118000269,6/5/2018,1134.8,14,158.87,14,158.87,12,136.18,453.92,1588.72
BARABATI  RESTAURANT,,580118000269,6/5/2018,322.35,9,29.01,9,29.01,0,0,58.02,380.37
GIRI BETTLE SHOP/,,580118000270,6/5/2018,1494.76,6,89.69,6,89.69,0,0,179.38,1674.14
JYOTI COMMUNICATION,,580118000271,6/5/2018,1494.76,6,89.69,6,89.69,0,0,179.38,1674.14
BOBBY BETTLE SHOP,,580118000272,6/5/2018,1494.76,6,89.69,6,89.69,0,0,179.38,1674.14
BAJRANG STORE,,580118000273,6/5/2018,1494.76,6,89.69,6,89.69,0,0,179.38,1674.14
DRAGON INN,,580118000274,6/7/2018,707.44,9,63.67,9,63.67,0,0,127.34,834.78
FREEZING POINT,,580118000275,6/7/2018,548.58,14,76.8,14,76.8,12,65.83,219.43,768.01
FREEZING POINT,,580118000275,6/7/2018,265.49,6,15.93,6,15.93,0,0,31.86,297.35
FREEZING POINT,,580118000275,6/7/2018,389.61,14,54.55,14,54.55,12,46.75,155.85,545.46
FREEZING POINT,,580118000276,6/9/2018,876.63,6,52.6,6,52.6,0,0,105.2,981.83
DAMA MAHARAJ SWEETS & ICECREAM PARL,,580118000277,6/9/2018,2239.63,9,201.57,9,201.57,0,0,403.14,2642.77
ORISSA CRICKET ASSOCIATION CLUB,21AAAAO0319F1ZC,580118000278,6/12/2018,1436.08,9,129.25,9,129.25,0,0,258.5,1694.58
ORISSA CRICKET ASSOCIATION CLUB,21AAAAO0319F1ZC,580118000278,6/12/2018,1588.72,14,222.42,14,222.42,12,190.65,635.49,2224.21
ORISSA CRICKET ASSOCIATION CLUB,21AAAAO0319F1ZC,580118000278,6/12/2018,1588.72,14,222.42,14,222.42,12,190.65,635.49,2224.21
ORISSA CRICKET ASSOCIATION CLUB,21AAAAO0319F1ZC,580118000278,6/12/2018,525.97,14,73.64,14,73.64,12,63.12,210.4,736.37
