Outlet Name,Outlet GSTIN Code,Invoice No,Invoice Date,Taxable Line Amt,SGST_Tax_Rate,SGST_Tax_Value,CGST_Tax_Rate,CGST_Tax_Value,Cess_Tax_Rate,Cess_Tax_Value,Total Tax Amount,Net Amount
DEEP FOOD CORNER,21AVIPD7702M1ZP,580118000667,10/4/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
DEEP FOOD CORNER,21AVIPD7702M1ZP,580118000667,10/4/2018,182.86,14,25.6,14,25.6,12,21.94,73.14,256
DEEP FOOD CORNER,21AVIPD7702M1ZP,580118000667,10/4/2018,903.96,9,81.36,9,81.36,0,0,162.72,1066.68
DEEP FOOD CORNER,21AVIPD7702M1ZP,580118000667,10/4/2018,548.58,14,76.8,14,76.8,12,65.83,219.43,768.01
DEEP FOOD CORNER,21AVIPD7702M1ZP,580118000667,10/4/2018,22.86,14,3.2,14,3.2,12,2.74,9.14,32
DEEP FOOD CORNER,21AVIPD7702M1ZP,580118000667,10/4/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
DEEP FOOD CORNER,21AVIPD7702M1ZP,580118000667,10/4/2018,548.58,14,76.8,14,76.8,12,65.83,219.43,768.01
DEEP FOOD CORNER,21AVIPD7702M1ZP,580118000667,10/4/2018,265.49,6,15.93,6,15.93,0,0,31.86,297.35
DEEP FOOD CORNER,21AVIPD7702M1ZP,580118000667,10/4/2018,646.26,9,58.16,9,58.16,0,0,116.32,762.58
DEEP FOOD CORNER,21AVIPD7702M1ZP,580118000668,10/4/2018,182.86,14,25.6,14,25.6,12,21.94,73.14,256
DEEP FOOD CORNER,21AVIPD7702M1ZP,580118000668,10/4/2018,301.32,9,27.12,9,27.12,0,0,54.24,355.56
DEEP FOOD CORNER,21AVIPD7702M1ZP,580118000668,10/4/2018,1280.02,14,179.2,14,179.2,12,153.6,512,1792.02
DEEP FOOD CORNER,21AVIPD7702M1ZP,580118000668,10/4/2018,1462.88,14,204.8,14,204.8,12,175.55,585.15,2048.03
DEEP FOOD CORNER,21AVIPD7702M1ZP,580118000668,10/4/2018,265.49,6,15.93,6,15.93,0,0,31.86,297.35
UNION CLUB,21AAAJU0278L1Z0,580118000695,10/9/2018,168.57,14,23.6,14,23.6,12,20.23,67.43,236
UNION CLUB,21AAAJU0278L1Z0,580118000695,10/9/2018,265.49,6,15.93,6,15.93,0,0,31.86,297.35
UNION CLUB,21AAAJU0278L1Z0,580118000695,10/9/2018,842.87,14,118,14,118,12,101.14,337.14,1180.01
UNION CLUB,21AAAJU0278L1Z0,580118000695,10/9/2018,680.88,14,95.32,14,95.32,12,81.71,272.35,953.23
UNION CLUB,21AAAJU0278L1Z0,580118000695,10/9/2018,680.88,14,95.32,14,95.32,12,81.71,272.35,953.23
UNION CLUB,21AAAJU0278L1Z0,580118000695,10/9/2018,1816,9,163.44,9,163.44,0,0,326.88,2142.88
UNION CLUB,21AAAJU0278L1Z0,580118000695,10/9/2018,1795.1,9,161.56,9,161.56,0,0,323.12,2118.22
UNION CLUB,21AAAJU0278L1Z0,580118000695,10/9/2018,0,9,0,9,0,0,0,0,0
ORISSA CRICKET ASSOCIATION CLUB,21AAAAO0319F1ZC,580118000696,10/13/2018,1795.1,9,161.56,9,161.56,0,0,323.12,2118.22
